iter	RMSE
206	38.18962352
207	38.16350413
208	38.12465741
209	38.09765342
210	38.04481052
211	38.00532911
212	37.98282117
213	37.94660342
214	37.90947995
215	37.87669283
216	37.83622211
217	37.79059534
218	37.75982551
219	37.73125165
220	37.68595712
221	37.64854577
222	37.61243317
223	37.58063313
224	37.53092039
225	37.50320295
226	37.46863114
227	37.40470664
228	37.35982667
229	37.31690365
230	37.27948487
231	37.24501051
232	37.21403005
233	37.17491862
234	37.13974992
235	37.10638375
236	37.08838894
237	37.05895395
238	37.02544366
239	36.99556597
240	36.96678265
241	36.93266879
242	36.89179782
243	36.87396278
244	36.84829674
245	36.81352948
246	36.78254006
247	36.75104581
248	36.72100631
249	36.68164168
250	36.66122495
251	36.62719806
252	36.58831154
253	36.56858978
254	36.54384465
255	36.52167179
256	36.48455465
257	36.45544899
258	36.41878709
259	36.39611807
260	36.37478257
261	36.33913941
262	36.30307784
263	36.26047694
264	36.23095227
265	36.20141368
266	36.17261912
267	36.14154783
268	36.12075074
269	36.0831394
270	36.05282297
271	36.02110716
272	35.99432373
273	35.97574803
274	35.95200544
275	35.93158848
276	35.91071094
277	35.88038723
278	35.85861653
279	35.83286043
280	35.80473268
281	35.77918719
282	35.75853802
283	35.73680609
284	35.71271358
285	35.67386902
286	35.65149042
287	35.6224189
288	35.57214353
289	35.55234811
290	35.53248142
291	35.51417963
292	35.49100767
293	35.47056038
294	35.4544303
295	35.43078842
296	35.4093482
297	35.39168993
298	35.357592
299	35.32456703
300	35.30778905
301	35.27898527
302	35.2551648
303	35.22727723
304	35.20452878
305	35.19296473
306	35.17265812
307	35.15605659
308	35.13355166
309	35.11273374
310	35.10054058
311	35.06507791
312	35.0422545
313	35.00444829
314	34.98836932
315	34.9534035
316	34.93233775
317	34.91352054
318	34.89754423
319	34.87809015
320	34.8631672
321	34.84789222
322	34.83829507
323	34.82717083
324	34.79932781
325	34.78922753
326	34.77086638
327	34.74105523
328	34.72469728
329	34.70214458
330	34.69402074
331	34.67350484
332	34.65261526
333	34.62995847
334	34.61019122
335	34.55237272
336	34.53734763
337	34.52276952
338	34.50144816
339	34.48779232
340	34.48475344
341	34.46125801
342	34.45104518
343	34.43358191
344	34.41293236
345	34.41233187
346	34.40961852
347	34.37952347
348	34.35996468
349	34.35753396
350	34.34408859
351	34.34354381
352	34.33446721
353	34.33016191
354	34.30301478
355	34.27407741
356	34.25493096
357	34.24139483
358	34.22408001
359	34.20499559
360	34.18696378
361	34.16605053
362	34.1417649
363	34.12695227
364	34.10746503
365	34.10704366
366	34.09068172
367	34.08307909
368	34.06145122
369	34.05728247
370	34.03538665
371	34.03383718
372	34.0207731
373	34.0203267
374	34.00216598
375	33.95389209
376	33.93324043
377	33.91997161
378	33.9039373
379	33.88217427
380	33.86464887
381	33.84343726
382	33.8235658
383	33.81513078
384	33.79582269
385	33.78038417
386	33.77785813
387	33.75401017
388	33.72904651
389	33.71895004
390	33.68950282
391	33.65504473
392	33.64131051
393	33.64112172
394	33.61869168
395	33.59651292
396	33.57452164
397	33.55296402
398	33.55113378
399	33.5383141
400	33.53610718
401	33.52852804
402	33.51049616
403	33.48964036
404	33.47160412
405	33.44867033
406	33.43613257
407	33.43445417
408	33.41786999
409	33.39705681
410	33.37715846
411	33.36587226
412	33.34985996
413	33.32992943
414	33.31151052
415	33.29976951
416	33.27284041
417	33.25875542
418	33.25619244
419	33.24360673
420	33.21174623
421	33.19724353
422	33.18362942
423	33.16251657
424	33.14415144
425	33.14257756
426	33.11914822
427	33.10286284
428	33.08259936
429	33.07868058
430	33.07712909
431	33.06640345
432	33.04880309
433	33.02969322
434	33.01800712
435	33.01037874
436	32.99302121
437	32.97558616
438	32.94752258
439	32.92483796
440	32.89911515
441	32.88865789
442	32.88283748
443	32.86325288
444	32.84754342
445	32.82489768
446	32.80994946
447	32.79869968
448	32.78475727
449	32.77247508
450	32.75645808
451	32.74153026
452	32.72626044
453	32.707353
454	32.70556872
455	32.69283424
456	32.67492798
457	32.65433718
458	32.64809116
459	32.62718872
460	32.62310165
461	32.61712981
462	32.60054131
463	32.58723431
464	32.56859987
465	32.54843426
466	32.54385512
467	32.52916655
468	32.51314872
469	32.49553585
470	32.48402161
471	32.47738169
472	32.45953771
473	32.44400211
474	32.43174259
475	32.41842444
476	32.41512779
477	32.39019801
478	32.37822852
479	32.36733426
480	32.34010829
481	32.32497726
482	32.30826594
483	32.28503222
484	32.25284469
485	32.23541542
486	32.2224282
487	32.20692534
488	32.1857221
489	32.17125247
490	32.15606688
491	32.13679857
492	32.12641992
493	32.11503641
494	32.10179545
495	32.08942548
496	32.06989899
497	32.05476551
498	32.03925658
499	32.02614726
500	32.0121356
501	32.00294382
502	31.98901664
503	31.97725508
504	31.96820034
505	31.96134666
506	31.94933982
507	31.9325216
508	31.91627584
509	31.90128169
510	31.89257198
511	31.88183362
512	31.87077195
513	31.85627822
514	31.83709776
515	31.82838024
516	31.8126599
517	31.79859894
518	31.78773532
519	31.77709351
520	31.75883375
521	31.73929741
522	31.72222166
523	31.71539793
524	31.70570408
525	31.69573846
526	31.68230761
527	31.66334661
528	31.64272618
529	31.62976444
530	31.61595705
531	31.61224526
532	31.58796983
533	31.57870152
534	31.56066008
535	31.54739669
536	31.53608515
537	31.5110303
538	31.49296982
539	31.48217886
540	31.46838281
541	31.45894458
542	31.44948283
543	31.4348189
544	31.41852204
545	31.40937846
546	31.39746642
547	31.38283063
548	31.3813111
549	31.36857535
550	31.35823358
551	31.34884882
552	31.33188852
553	31.31713032
554	31.29112964
555	31.28306186
556	31.26771503
557	31.2555789
558	31.22334105
559	31.20733954
560	31.19960481
561	31.18395667
562	31.18255585
563	31.17435864
564	31.16093058
565	31.14563402
566	31.12949526
567	31.12064579
568	31.10498991
569	31.09788279
570	31.08519498
571	31.06555713
572	31.05644339
573	31.04132427
574	31.01992956
575	31.01211447
576	30.99537505
577	30.97746545
578	30.96521273
579	30.96451159
580	30.9617242
581	30.93941212
582	30.92980238
583	30.9245367
584	30.91332808
585	30.89916805
586	30.88225149
587	30.87546113
588	30.86045935
589	30.84175509
590	30.8202786
591	30.80909788
592	30.79591387
593	30.78352095
594	30.77205547
595	30.76106139
596	30.75554558
597	30.74579589
598	30.73195982
599	30.72909249
600	30.71605037
601	30.69425248
602	30.68994923
603	30.66983073
604	30.65058407
605	30.63960928
606	30.62644258
607	30.61786917
608	30.61340081
609	30.60690499
610	30.59357125
611	30.56988068
612	30.55681585
613	30.5448314
614	30.53311453
615	30.5218804
616	30.50419691
617	30.49871798
618	30.48992913
619	30.47124554
620	30.46096358
621	30.44531969
622	30.43633206
623	30.4181909
624	30.41001715
625	30.39709191
626	30.38913714
627	30.37610795
628	30.36517621
629	30.35181057
630	30.34085187
631	30.33251416
632	30.32081776
633	30.31324248
634	30.30724088
635	30.29786089
636	30.28338816
637	30.27426149
638	30.2704963
639	30.25363789
640	30.2422994
641	30.23489181
642	30.21718566
643	30.2102393
644	30.19731366
645	30.17447821
646	30.16399216
647	30.15435926
648	30.14739232
649	30.13163691
650	30.11968073
651	30.109625
652	30.09622659
653	30.08711274
654	30.07556477
655	30.0649417
656	30.04109152
657	30.03476054
658	30.02633744
659	30.0069629
660	29.99931451
661	29.98801279
662	29.97778485
663	29.97019648
664	29.95211191
665	29.94364883
666	29.93795375
667	29.9250461
668	29.91082227
669	29.90395972
670	29.89440065
671	29.87646271
672	29.85994727
673	29.85185674
674	29.84468289
675	29.83667478
676	29.82546095
677	29.81168905
678	29.80805552
679	29.80492881
680	29.79482955
681	29.78805493
682	29.77150905
683	29.76433686
684	29.75120188
685	29.73619873
686	29.72600688
687	29.71067092
688	29.70521814
689	29.69449238
690	29.68906419
691	29.68271062
692	29.67437811
693	29.66911717
694	29.65012717
695	29.64316027
696	29.6283661
697	29.62396179
698	29.61336688
699	29.60497584
700	29.59196518
701	29.57700241
702	29.57283186
703	29.56548452
704	29.55410627
705	29.54348821
706	29.5279189
707	29.51673679
708	29.50116658
709	29.49033924
710	29.48571415
711	29.47462861
712	29.46267022
713	29.45225643
714	29.4440538
715	29.4385191
716	29.4296231
717	29.4185803
718	29.40701834
719	29.39686834
720	29.38532572
721	29.37085861
722	29.36433449
723	29.3578087
724	29.34947535
725	29.34062389
726	29.32781566
727	29.31470927
728	29.30368283
729	29.29377765
730	29.28717542
731	29.27696522
732	29.27025201
733	29.26246931
734	29.25333124
735	29.24362499
736	29.24122575
737	29.23316037
738	29.22181373
739	29.2095542
740	29.19008405
741	29.1813331
742	29.17258968
743	29.16238865
744	29.14411783
745	29.13837904
746	29.12559304
747	29.11509696
748	29.10376555
749	29.09530989
750	29.08903337
751	29.07248079
752	29.06428606
753	29.05613489
754	29.04414351
755	29.03661273
756	29.02975318
757	29.02368373
758	29.01711297
759	29.01109342
760	29.00663568
761	28.99588619
762	28.99153093
763	28.98575582
764	28.98010387
765	28.96979468
766	28.96170106
767	28.94949506
768	28.94340933
769	28.93719973
770	28.93225806
771	28.92836284
772	28.9162065
773	28.9095869
774	28.90197396
775	28.89147148
776	28.88334556
777	28.88056254
778	28.8742392
779	28.86731461
780	28.85702925
781	28.84561172
782	28.84136656
783	28.82816449
784	28.81838908
785	28.81514772
786	28.79782547
787	28.79357432
788	28.78276736
789	28.78065692
790	28.77167649
791	28.76705425
792	28.75971295
793	28.75139092
794	28.74036365
795	28.72845258
796	28.71442997
797	28.7088471
798	28.69855761
799	28.68794956
800	28.67831573
801	28.66604257
802	28.65848368
803	28.64923246
804	28.64219705
805	28.63347848
806	28.63148932
807	28.6192367
808	28.61388166
809	28.60868452
810	28.60259128
811	28.59637971
812	28.58961504
813	28.57667922
814	28.57119592
815	28.56444803
816	28.55499182
817	28.55153855
818	28.54619754
819	28.54389307
820	28.53176594
821	28.51793094
822	28.51301803
823	28.50627111
824	28.5029092
825	28.48586477
826	28.46732155
827	28.45836835
828	28.45203155
829	28.44614953
830	28.4423294
831	28.4380282
832	28.42544034
833	28.42029235
834	28.41419795
835	28.40424912
836	28.39823036
837	28.39461981
838	28.39137828
839	28.37896694
840	28.37695069
841	28.36796704
842	28.36238502
843	28.35451667
844	28.3512412
845	28.34838756
846	28.34300599
847	28.3349263
848	28.32314245
849	28.31224774
850	28.30647161
851	28.30163874
852	28.2967591
853	28.29070192
854	28.28160457
855	28.27326446
856	28.26981017
857	28.26214161
858	28.25170104
859	28.24134553
860	28.23405201
861	28.22970808
862	28.22628838
863	28.22130248
864	28.21646418
865	28.20741366
866	28.19702814
867	28.1873158
868	28.17792577
869	28.17660769
870	28.17047017
871	28.15836213
872	28.15344518
873	28.1471343
874	28.14056193
875	28.13319593
876	28.12634271
877	28.11952247
878	28.11458482
879	28.10398194
880	28.10138565
881	28.09336648
882	28.08888989
883	28.07481261
884	28.07265601
885	28.06462213
886	28.06335889
887	28.05426737
888	28.04644782
889	28.04110016
890	28.03295585
891	28.02166794
892	28.01931442
893	28.01710966
894	28.00690165
895	27.99002749
896	27.98048645
897	27.97107749
898	27.96490189
899	27.95497961
900	27.9478043
901	27.93859262
902	27.93058037
903	27.91871933
904	27.90847178
905	27.90204756
906	27.88887198
907	27.8821751
908	27.87242462
909	27.86802648
910	27.86010511
911	27.85270082
912	27.84751226
913	27.83698371
914	27.83420161
915	27.82924686
916	27.81908113
917	27.81440458
918	27.79459131
919	27.78107674
920	27.77188169
921	27.76104565
922	27.75296967
923	27.74973847
924	27.74360576
925	27.73540309
926	27.72693499
927	27.71630569
928	27.71032027
929	27.69607733
930	27.6865174
931	27.67971342
932	27.67408037
933	27.66710712
934	27.66246313
935	27.65175054
936	27.64853332
937	27.64663827
938	27.64288564
939	27.63657703
940	27.61811028
941	27.61268287
942	27.60581959
943	27.59710481
944	27.58829195
945	27.5830955
946	27.57482454
947	27.57240662
948	27.56197539
949	27.55763194
950	27.54959625
951	27.54710425
952	27.53931075
953	27.53207813
954	27.53016325
955	27.51985442
956	27.50642301
957	27.50118085
958	27.49504377
959	27.48853946
960	27.48652365
961	27.4828824
962	27.47580221
963	27.47239934
964	27.46813675
965	27.46111127
966	27.45781484
967	27.45270615
968	27.44922851
969	27.44211667
970	27.43632272
971	27.42968213
972	27.4248141
973	27.41967138
974	27.40874018
975	27.40231768
976	27.39670294
977	27.38950974
978	27.38216854
979	27.37111839
980	27.35991183
981	27.34739713
982	27.34088157
983	27.337033
984	27.32847468
985	27.32339559
986	27.31547607
987	27.30944361
988	27.30061339
989	27.2877031
990	27.27669984
991	27.26596663
992	27.25487798
993	27.24883497
994	27.23986718
995	27.23761226
996	27.23360493
997	27.23011348
998	27.22374174
999	27.21517143
